13804,15552,1396,15428,total
118.0,183.0,186.0,188.0,11209.0
98.0,165.0,135.0,143.0,
161.0,168.0,164.0,162.0,
164.0,172.0,156.0,160.0,
169.0,165.0,117.0,164.0,
148.0,135.0,134.0,134.0,
89.0,164.0,163.0,166.0,
164.0,122.0,166.0,164.0,
129.0,156.0,158.0,166.0,
114.0,107.0,149.0,149.0,
137.0,168.0,169.0,159.0,
163.0,140.0,164.0,168.0,
89.0,164.0,160.0,159.0,
168.0,124.0,169.0,169.0,
133.0,159.0,112.0,127.0,
171.0,113.0,159.0,162.0,
149.0,144.0,85.0,168.0,
167.0,167.0,169.0,164.0,
163.0,150.0,166.0,170.0,
154.0,170.0,173.0,130.0,
150.0,162.0,159.0,155.0,
157.0,140.0,168.0,80.0,
163.0,158.0,143.0,137.0,
88.0,133.0,163.0,160.0,
159.0,133.0,165.0,148.0,
166.0,164.0,137.0,115.0,
158.0,162.0,163.0,163.0,
150.0,135.0,128.0,166.0,
148.0,145.0,169.0,168.0,
154.0,142.0,166.0,131.0,
118.0,151.0,137.0,97.0,
166.0,164.0,151.0,159.0,
92.0,155.0,127.0,158.0,
157.0,151.0,147.0,116.0,
165.0,166.0,154.0,170.0,
164.0,165.0,134.0,167.0,
137.0,166.0,169.0,167.0,
139.0,172.0,173.0,173.0,
163.0,159.0,167.0,160.0,
173.0,165.0,160.0,163.0,
167.0,160.0,150.0,157.0,
164.0,157.0,84.0,163.0,
155.0,169.0,152.0,176.0,
159.0,167.0,156.0,169.0,
173.0,166.0,155.0,171.0,
153.0,163.0,164.0,164.0,
134.0,164.0,130.0,166.0,
137.0,165.0,148.0,162.0,
153.0,170.0,166.0,169.0,
151.0,166.0,170.0,170.0,
114.0,153.0,168.0,169.0,
164.0,149.0,161.0,170.0,
168.0,157.0,165.0,168.0,
164.0,159.0,158.0,170.0,
165.0,159.0,165.0,157.0,
168.0,144.0,165.0,171.0,
167.0,158.0,164.0,163.0,
165.0,161.0,164.0,168.0,
163.0,118.0,164.0,173.0,
170.0,171.0,126.0,161.0,
166.0,159.0,156.0,170.0,
149.0,171.0,154.0,143.0,
167.0,144.0,156.0,162.0,
168.0,135.0,103.0,124.0,
159.0,110.0,150.0,139.0,
166.0,135.0,165.0,159.0,
167.0,128.0,156.0,82.0,
161.0,144.0,162.0,164.0,
146.0,167.0,167.0,155.0,
170.0,163.0,163.0,141.0,
154.0,137.0,158.0,181.0,
160.0,177.0,181.0,,
181.0,96.0,,,
